original_index,url_original,type,IP_Address,URL_Length,URL_Shortening,Double_Slash_Redirect_After_HTTPS,Hyphen_in_Domain_Name,Presence_of_Subdomain,Uses_HTTPS_Protocol,Favicon_Source_Consistency,Custom_Port_Usage,External_Resource_Ratio,External_Links_Ratio,External_CSS_and_JS_Resources,External_Form_Submission,Form_Submits_to_Email_Address,HTTP_Response_Status_Content,Number_of_Redirects,Mouseover_Link_Manipulation,Right_Click_Disabled,Popup_Window_Usage,Iframe_Usage,URL_Blacklist_Status,url_shortener_true
87928,http://bit.do/dX4Bo,phishing,1.0,19.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1
88103,https://tinyurl.com/y9oquttx,phishing,1.0,28.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,1
89187,http://tinyurl.com/z8nklr6,phishing,1.0,26.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,1
90077,http://www.bit.ly/2zXdEdq,phishing,1.0,25.0,-1.0,1.0,1.0,2.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1
90246,http://t.co/3XZhaoyC65,phishing,1.0,22.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1
92535,http://tiny.cc/3cyl2y,phishing,1.0,21.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1
94373,http://bitly.com/1J1Muz91J1Muz9,phishing,1.0,31.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0,1
94574,http://bit.do/bb_desbloqueio,phishing,1.0,28.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1
95180,http://bit.do/dZCAa,phishing,1.0,19.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1
96345,https://rebrand.ly/vodaf7867c,phishing,1.0,29.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,44.44,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
96513,http://bit.ly/2lmIGFv039,phishing,1.0,24.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0,1
97248,http://bit.ly/2aQNJKZ,phishing,1.0,21.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,1
97812,http://bit.ly/2cl0l,phishing,1.0,19.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1
97815,https://t.co/i57TQyW7UC,phishing,1.0,23.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1
98253,http://goo.gl/dWDjJl,phishing,1.0,20.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0,1
98376,http://ow.ly/LVta308zuXb,phishing,1.0,24.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
100239,http://goo.gl/qu2x0w,phishing,1.0,20.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0,1
100543,http://migre.me/ut4mq,phishing,1.0,21.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,50.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
101071,http://ow.ly/ZVZAl,phishing,1.0,18.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,53.33,30.48,76.92,1.0,1.0,1.0,2.0,1.0,1.0,1.0,-1.0,-1.0,1
103688,https://t.co/bFheiiqTlc,phishing,1.0,23.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1
104939,http://bit.ly/2mGYd35,phishing,1.0,21.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1
105107,http://bit.ly/2jEazIa,phishing,1.0,21.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,1
105193,https://is.gd/eZFdB4,phishing,1.0,20.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,1
105578,http://snip.ly/kv4hc,phishing,1.0,20.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,1.0,1
105609,http://bitly.com/dj_co_privacidad,phishing,1.0,33.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0,1
106052,http://ow.ly/8BD7305K3aN,phishing,1.0,24.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1
106183,http://bit.ly/Portaldoclientebb,phishing,1.0,31.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1
